Bay,DATE,DIN,DON
CC,07/02/2013,0.060515,0.6595153678
CC,07/02/2013,0.04641,0.8333894342
CC,07/02/2013,0.09205,0.4719652489
CC,10/08/2013,0.021735,0.8249070016
CC,10/08/2013,0.01869,0.8549713907
CC,10/08/2013,0.02653,0.7273182102
CC,01/14/2014,0.02226,0.6977919044
CC,01/14/2014,0.0218633333,0.6030065875
CC,01/14/2014,0.04571,0.5508679675
CC,04/10/2014,0.02569,0.55202
CC,04/10/2014,0.06146,0.5054
CC,04/10/2014,0.03717,0.4354
CC,07/02/2014,0.037275,0.7426620283
CC,07/02/2014,0.05803,1.1864650281
CC,07/02/2014,0.0377066667,1.3280214854
CC,10/15/2014,0.020055,0.7244035103
CC,10/15/2014,0.01736,0.818022055
CC,10/15/2014,0.0245,0.6188044507
CC,01/06/2015,0.083335,0.7904411095
CC,01/06/2015,0.03521,0.4673339938
CC,01/06/2015,0.0400633333,0.4463049833
CC,04/06/2015,0.09023,0.7229587374
CC,04/06/2015,0.03864,0.5032854134
CC,04/06/2015,0.0261333333,0.4966480556
CC,07/28/2015,0.03528,0.7563511159
CC,07/28/2015,0.05621,0.7737601947
CC,07/28/2015,0.0557666667,0.6346613094
CC,10/01/2015,0.018165,0.855206135
CC,10/01/2015,0.0301,0.6383612843
CC,10/01/2015,0.0318266667,0.6660559841
CC,01/15/2016,0.03535,0.6680521232
CC,01/15/2016,0.0259,0.601043072
CC,01/15/2016,0.028,0.5553224694
CC,04/12/2016,0.03829,0.2925810701
CC,04/12/2016,0.01974,0.6066157144
CC,04/12/2016,0.01722,0.5931514018
CC,07/18/2016,0.01932,0.7704796494
CC,07/18/2016,0.01827,0.9256688255
CC,07/18/2016,0.03682,0.531899148
